sensor_id,neighbor_id,distance_km
87f82783-853b-417d-8964-b5cf11e44873,fec52a19-9148-4350-a1b4-ae0da05ee199,1.857575
fec52a19-9148-4350-a1b4-ae0da05ee199,e20e9778-a020-4b86-932a-b7ab6a713a00,1.802162
e20e9778-a020-4b86-932a-b7ab6a713a00,fec52a19-9148-4350-a1b4-ae0da05ee199,1.802162
fec52a19-9148-4350-a1b4-ae0da05ee199,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,2.068255
2819ecbb-5de3-4092-aa1d-4ba3a8c40add,fec52a19-9148-4350-a1b4-ae0da05ee199,2.068255
fec52a19-9148-4350-a1b4-ae0da05ee199,a9a2083f-f086-4fae-bdae-355b391f436b,0.576549
a9a2083f-f086-4fae-bdae-355b391f436b,fec52a19-9148-4350-a1b4-ae0da05ee199,0.576549
fec52a19-9148-4350-a1b4-ae0da05ee199,a17013e7-8d1d-4b0d-8e2f-e0881dbca3ac,2.227745
a17013e7-8d1d-4b0d-8e2f-e0881dbca3ac,fec52a19-9148-4350-a1b4-ae0da05ee199,2.227745
fec52a19-9148-4350-a1b4-ae0da05ee199,d851c0b9-990e-41db-9c53-529f88524cf9,0.988298
d851c0b9-990e-41db-9c53-529f88524cf9,fec52a19-9148-4350-a1b4-ae0da05ee199,0.988298
fec52a19-9148-4350-a1b4-ae0da05ee199,30dab8a6-ff63-43ce-9a3b-99f1f3f7054d,2.826842
30dab8a6-ff63-43ce-9a3b-99f1f3f7054d,fec52a19-9148-4350-a1b4-ae0da05ee199,2.826842
fec52a19-9148-4350-a1b4-ae0da05ee199,16836a55-7140-43e2-9a63-56fac5cba714,0.794876
16836a55-7140-43e2-9a63-56fac5cba714,fec52a19-9148-4350-a1b4-ae0da05ee199,0.794876
fec52a19-9148-4350-a1b4-ae0da05ee199,2001,3.430263
2001,fec52a19-9148-4350-a1b4-ae0da05ee199,3.430263
fec52a19-9148-4350-a1b4-ae0da05ee199,2002,1.475686
2002,fec52a19-9148-4350-a1b4-ae0da05ee199,1.475686
fec52a19-9148-4350-a1b4-ae0da05ee199,24039f11-a4fc-4b2d-8bc0-6fd36059f117,1.162260
24039f11-a4fc-4b2d-8bc0-6fd36059f117,fec52a19-9148-4350-a1b4-ae0da05ee199,1.162260
fec52a19-9148-4350-a1b4-ae0da05ee199,874ff9c6-786d-45fc-a90e-48c7ffe03417,0.877219
874ff9c6-786d-45fc-a90e-48c7ffe03417,fec52a19-9148-4350-a1b4-ae0da05ee199,0.877219
fec52a19-9148-4350-a1b4-ae0da05ee199,23b735ef-a996-4a7f-9998-2aa7e78827b0,3.595189
23b735ef-a996-4a7f-9998-2aa7e78827b0,fec52a19-9148-4350-a1b4-ae0da05ee199,3.595189
