timestamp,sensorId,lat,lon,type,value
2026-01-19T01:11:37+01:00,87f82783-853b-417d-8964-b5cf11e44873,41.035567,21.337528,gasResistance,250511
2026-01-19T01:11:37+01:00,87f82783-853b-417d-8964-b5cf11e44873,41.035567,21.337528,humidity,59
2026-01-19T01:11:37+01:00,87f82783-853b-417d-8964-b5cf11e44873,41.035567,21.337528,pm10,19
2026-01-19T01:11:37+01:00,87f82783-853b-417d-8964-b5cf11e44873,41.035567,21.337528,pm25,8
2026-01-19T01:11:37+01:00,87f82783-853b-417d-8964-b5cf11e44873,41.035567,21.337528,pressure,954
2026-01-19T01:11:37+01:00,87f82783-853b-417d-8964-b5cf11e44873,41.035567,21.337528,temperature,4
2026-01-19T01:27:08+01:00,87f82783-853b-417d-8964-b5cf11e44873,41.035567,21.337528,gasResistance,254547
2026-01-19T01:27:08+01:00,87f82783-853b-417d-8964-b5cf11e44873,41.035567,21.337528,humidity,59
2026-01-19T01:27:08+01:00,87f82783-853b-417d-8964-b5cf11e44873,41.035567,21.337528,pm10,18
2026-01-19T01:27:08+01:00,87f82783-853b-417d-8964-b5cf11e44873,41.035567,21.337528,pm25,8
2026-01-19T01:27:08+01:00,87f82783-853b-417d-8964-b5cf11e44873,41.035567,21.337528,pressure,954
2026-01-19T01:27:08+01:00,87f82783-853b-417d-8964-b5cf11e44873,41.035567,21.337528,temperature,4
2026-01-19T01:42:40+01:00,87f82783-853b-417d-8964-b5cf11e44873,41.035567,21.337528,gasResistance,255134
2026-01-19T01:42:40+01:00,87f82783-853b-417d-8964-b5cf11e44873,41.035567,21.337528,humidity,61
2026-01-19T01:42:40+01:00,87f82783-853b-417d-8964-b5cf11e44873,41.035567,21.337528,pm10,12
2026-01-19T01:42:40+01:00,87f82783-853b-417d-8964-b5cf11e44873,41.035567,21.337528,pm25,7
2026-01-19T01:42:40+01:00,87f82783-853b-417d-8964-b5cf11e44873,41.035567,21.337528,pressure,955
2026-01-19T01:42:40+01:00,87f82783-853b-417d-8964-b5cf11e44873,41.035567,21.337528,temperature,4
2026-01-19T01:58:11+01:00,87f82783-853b-417d-8964-b5cf11e44873,41.035567,21.337528,gasResistance,254938
2026-01-19T01:58:11+01:00,87f82783-853b-417d-8964-b5cf11e44873,41.035567,21.337528,humidity,61
2026-01-19T01:58:11+01:00,87f82783-853b-417d-8964-b5cf11e44873,41.035567,21.337528,pm10,20
2026-01-19T01:58:11+01:00,87f82783-853b-417d-8964-b5cf11e44873,41.035567,21.337528,pm25,11
2026-01-19T01:58:11+01:00,87f82783-853b-417d-8964-b5cf11e44873,41.035567,21.337528,pressure,955
2026-01-19T01:58:11+01:00,87f82783-853b-417d-8964-b5cf11e44873,41.035567,21.337528,temperature,4
2026-01-19T02:13:43+01:00,87f82783-853b-417d-8964-b5cf11e44873,41.035567,21.337528,gasResistance,256119
2026-01-19T02:13:43+01:00,87f82783-853b-417d-8964-b5cf11e44873,41.035567,21.337528,humidity,61
