timestamp,sensorId,humidity,pressure,temperature,wind_speed
2025-11-30 23:00:00+00:00,d241a044-0a06-40c2-9d90-c91fd0a95060,72,886.9,3.1,7.2
2025-12-01 00:00:00+00:00,d241a044-0a06-40c2-9d90-c91fd0a95060,71,886.8,3.1,8.6
2025-12-01 01:00:00+00:00,d241a044-0a06-40c2-9d90-c91fd0a95060,71,887.5,3.1,7.9
2025-12-01 02:00:00+00:00,d241a044-0a06-40c2-9d90-c91fd0a95060,73,887.3,2.8,7.9
2025-12-01 03:00:00+00:00,d241a044-0a06-40c2-9d90-c91fd0a95060,72,887.7,2.9,7.6
2025-12-01 04:00:00+00:00,d241a044-0a06-40c2-9d90-c91fd0a95060,71,887.9,2.7,6.8
2025-12-01 05:00:00+00:00,d241a044-0a06-40c2-9d90-c91fd0a95060,73,888.3,2.3,6.5
2025-12-01 06:00:00+00:00,d241a044-0a06-40c2-9d90-c91fd0a95060,74,888.9,1.9,6.9
2025-12-01 07:00:00+00:00,d241a044-0a06-40c2-9d90-c91fd0a95060,71,889.5,3.2,5.4
2025-12-01 08:00:00+00:00,d241a044-0a06-40c2-9d90-c91fd0a95060,67,890.3,5.4,2.6
2025-12-01 09:00:00+00:00,d241a044-0a06-40c2-9d90-c91fd0a95060,59,890.9,6.7,3.0
2025-12-01 10:00:00+00:00,d241a044-0a06-40c2-9d90-c91fd0a95060,56,890.5,7.7,2.9
2025-12-01 11:00:00+00:00,d241a044-0a06-40c2-9d90-c91fd0a95060,56,890.5,8.1,3.1
2025-12-01 12:00:00+00:00,d241a044-0a06-40c2-9d90-c91fd0a95060,55,890.3,8.7,3.8
2025-12-01 13:00:00+00:00,d241a044-0a06-40c2-9d90-c91fd0a95060,57,890.2,8.5,3.6
2025-12-01 14:00:00+00:00,d241a044-0a06-40c2-9d90-c91fd0a95060,60,890.3,7.9,3.2
2025-12-01 15:00:00+00:00,d241a044-0a06-40c2-9d90-c91fd0a95060,70,890.1,6.5,1.9
2025-12-01 16:00:00+00:00,d241a044-0a06-40c2-9d90-c91fd0a95060,67,890.2,5.3,3.8
2025-12-01 17:00:00+00:00,d241a044-0a06-40c2-9d90-c91fd0a95060,70,890.3,3.4,6.0
2025-12-01 18:00:00+00:00,d241a044-0a06-40c2-9d90-c91fd0a95060,73,891.2,2.5,6.2
