timestamp,sensorId,humidity,pm10,pm25,pressure,temperature,wind_speed,neighbor1_humidity,neighbor2_humidity,neighbor3_humidity,neighbor4_humidity,neighbor5_humidity,neighbor1_pressure,neighbor2_pressure,neighbor3_pressure,neighbor4_pressure,neighbor5_pressure,neighbor1_temperature,neighbor2_temperature,neighbor3_temperature,neighbor4_temperature,neighbor5_temperature,neighbor1_wind_speed,neighbor2_wind_speed,neighbor3_wind_speed,neighbor4_wind_speed,neighbor5_wind_speed,season,hour_sin,hour_cos,month_sin,month_cos,day_sin,day_cos,is_weekend,is_heating_season
2025-11-28 00:00:00+00:00,007f2b03-94e6-47b3-9e3e-44273354acd5,85.75,1.5,1.0,943.0,2.25,6.7718867920634915,76.47800925925927,76.47800925925927,84.66666666666667,76.47800925925927,85.5,981.7204301075268,981.7204301075268,981.7204301075268,981.7204301075268,983.0,6.791666666666667,6.791666666666667,5.0,6.791666666666667,4.0,6.206738,6.206738,6.206738,6.7718867920634915,6.206738,autumn,0.0,1.0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,1
2025-11-28 01:00:00+00:00,007f2b03-94e6-47b3-9e3e-44273354acd5,86.0,1.25,0.75,943.0,2.0,6.967051257142858,75.74940476190476,75.74940476190476,81.75,75.74940476190476,82.25,981.563888888889,981.563888888889,981.563888888889,981.563888888889,983.0,6.6581196581196584,6.6581196581196584,5.0,6.6581196581196584,4.0,6.6818557,6.6818557,6.6818557,6.967051257142858,6.6818557,autumn,0.2588190451025207,0.9659258262890684,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,1
2025-11-28 02:00:00+00:00,007f2b03-94e6-47b3-9e3e-44273354acd5,84.5,0.0,0.0,943.0,2.0,5.76945506031746,75.33452380952382,75.33452380952382,80.5,75.33452380952382,79.25,981.3194444444443,981.3194444444443,981.3194444444443,981.3194444444443,983.0,6.673076923076923,6.673076923076923,5.0,6.673076923076923,4.0,5.2694216,5.2694216,5.2694216,5.76945506031746,5.2694216,autumn,0.4999999999999999,0.8660254037844387,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,1
2025-11-28 03:00:00+00:00,007f2b03-94e6-47b3-9e3e-44273354acd5,86.0,0.0,0.0,943.0,2.0,6.382469368253968,76.0172619047619,76.0172619047619,82.5,76.0172619047619,82.25,981.5027777777776,981.5027777777776,981.5027777777776,981.5027777777776,983.0,6.598290598290598,6.598290598290598,5.0,6.598290598290598,4.0,5.2416787,5.2416787,5.2416787,6.382469368253968,5.2416787,autumn,0.7071067811865475,0.7071067811865476,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,1
2025-11-28 04:00:00+00:00,007f2b03-94e6-47b3-9e3e-44273354acd5,85.0,0.25,0.0,943.5,2.75,5.2908229238095235,76.34285714285714,76.34285714285714,84.0,76.34285714285714,85.0,981.7666666666668,981.7666666666668,981.7666666666668,981.7666666666668,983.25,6.6923076923076925,6.6923076923076925,5.0,6.6923076923076925,4.0,4.846648,4.846648,4.846648,5.2908229238095235,4.846648,autumn,0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,1
2025-11-28 05:00:00+00:00,007f2b03-94e6-47b3-9e3e-44273354acd5,85.0,0.0,0.0,944.0,3.0,4.991656715873016,75.20601851851852,75.20601851851852,82.75,75.20601851851852,81.66666666666667,982.1639784946236,982.1639784946236,982.1639784946236,982.1639784946236,984.0,6.71875,6.71875,5.0,6.71875,4.0,5.7515564,5.7515564,5.7515564,4.991656715873016,5.7515564,autumn,0.9659258262890684,0.2588190451025207,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,1
2025-11-28 06:00:00+00:00,007f2b03-94e6-47b3-9e3e-44273354acd5,84.33333333333333,0.0,0.0,944.0,3.0,4.208674511111111,74.67592592592592,74.67592592592592,80.25,74.67592592592592,81.25,982.3548387096774,982.3548387096774,982.3548387096774,982.3548387096774,984.0,6.8,6.8,5.0,6.8,4.75,4.3498964,4.3498964,4.3498964,4.208674511111111,4.3498964,autumn,1.0,6.123233995736766e-17,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,1
2025-11-28 07:00:00+00:00,007f2b03-94e6-47b3-9e3e-44273354acd5,83.75,0.75,0.25,944.0,3.25,5.900622423809524,74.37731481481482,74.37731481481482,78.5,74.37731481481482,83.75,982.5645161290324,982.5645161290324,982.5645161290324,982.5645161290324,984.0,7.210416666666667,7.210416666666667,5.0,7.210416666666667,5.0,6.522361,6.522361,6.522361,5.900622423809524,6.522361,autumn,0.9659258262890684,-0.2588190451025206,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,1
2025-11-28 08:00:00+00:00,007f2b03-94e6-47b3-9e3e-44273354acd5,82.25,0.75,0.5,944.0,4.0,5.878603511111112,73.88963963963964,73.88963963963964,78.66666666666667,73.88963963963964,76.25,982.21875,982.21875,982.21875,982.21875,984.0,7.605691056910569,7.605691056910569,5.666666666666667,7.605691056910569,6.0,5.402999,5.402999,5.402999,5.878603511111112,5.402999,autumn,0.8660254037844387,-0.4999999999999998,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,1
2025-11-28 09:00:00+00:00,007f2b03-94e6-47b3-9e3e-44273354acd5,81.25,0.25,0.0,944.0,4.75,6.399452876190476,72.45029239766082,72.45029239766082,79.77777777777779,72.45029239766082,74.0,981.8411458333334,981.8411458333334,981.8411458333334,981.8411458333334,983.5,7.901084010840108,7.901084010840108,5.444444444444445,7.901084010840108,6.0,5.6492476,5.6492476,5.6492476,6.399452876190476,5.6492476,autumn,0.7071067811865476,-0.7071067811865475,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,1
